Protein1,Protein2,InteractionProbability
THA_HUMAN,NCOA6_HUMAN,0.9
E2F4_HUMAN,BRCA1_HUMAN,0.86
G3BP2_HUMAN,NU214_HUMAN,0.87
SNP29_HUMAN,STX12_HUMAN,0.89
HNF1A_HUMAN,HNF1A_HUMAN,0.88
SOCS2_HUMAN,ELOC_HUMAN,0.9
U520_HUMAN,U520_HUMAN,0.93
MP2K7_HUMAN,M3K5_HUMAN,0.94
PLS1_HUMAN,NEUR4_HUMAN,0.87
CPLX1_HUMAN,VAMP2_HUMAN,0.96
HJURP_HUMAN,H4_HUMAN,0.88
RFA1_HUMAN,RAD51_HUMAN,0.96
DDB1_HUMAN,DDB2_HUMAN,0.9
BBS4_HUMAN,TTC8_HUMAN,0.87
ORC5_HUMAN,ORC3_HUMAN,0.97
MUTYH_HUMAN,PCNA_HUMAN,0.88
PSD11_HUMAN,PSD12_HUMAN,0.86
KCNRG_HUMAN,KCNRG_HUMAN,0.89
IFT88_HUMAN,IFT80_HUMAN,0.87
PLTP_HUMAN,APOA2_HUMAN,0.86
PSD13_HUMAN,PRS6A_HUMAN,0.94
KAT5_HUMAN,RUVB2_HUMAN,0.87
UBP21_HUMAN,UBP20_HUMAN,0.86
CISH_HUMAN,EPOR_HUMAN,0.9
NEMO_HUMAN,BIRC2_HUMAN,0.86
NEMO_HUMAN,TBK1_HUMAN,0.9
KCTD6_HUMAN,KCTD6_HUMAN,0.95
IRX4_HUMAN,RARA_HUMAN,0.88
MYLK_HUMAN,SRC8_HUMAN,0.86
CDCA5_HUMAN,PDS5B_HUMAN,0.88
PSA6_HUMAN,PSB6_HUMAN,0.96
BRD2_HUMAN,H4_HUMAN,0.97
TNPO1_HUMAN,RAN_HUMAN,0.97
ASB8_HUMAN,ELOC_HUMAN,0.89
EDAD_HUMAN,TRAF2_HUMAN,0.86
H4_HUMAN,MCM2_HUMAN,0.89
RENT2_HUMAN,RENT2_HUMAN,0.88
RNPS1_HUMAN,PR40A_HUMAN,0.87
TNFA_HUMAN,TNR1A_HUMAN,0.9
PEX14_HUMAN,PEX5_HUMAN,0.97
PTPRM_HUMAN,PTPRM_HUMAN,0.88
ARRB1_HUMAN,M3K5_HUMAN,0.86
NDUA2_HUMAN,NDUV1_HUMAN,0.86
RPC8_HUMAN,RPC1_HUMAN,0.89
CEBPA_HUMAN,CEBPA_HUMAN,0.95
CCNK_HUMAN,RPB1_HUMAN,0.89
TBP_HUMAN,ESR1_HUMAN,0.86
SSA27_HUMAN,RUVB2_HUMAN,0.86
FBX4_HUMAN,FBX4_HUMAN,0.88
HAUS6_HUMAN,HAUS7_HUMAN,0.87
ARI4B_HUMAN,HDAC2_HUMAN,0.86
MAVS_HUMAN,TRAF2_HUMAN,0.87
STPAP_HUMAN,CPSF3_HUMAN,0.87
CWC15_HUMAN,CTBL1_HUMAN,0.95
TRAF2_HUMAN,TRAF2_HUMAN,0.97
BATF2_HUMAN,JUNB_HUMAN,0.87
DNMBP_HUMAN,WASL_HUMAN,0.89
ASF1A_HUMAN,H4_HUMAN,0.99
UBF1_HUMAN,TAF1_HUMAN,0.87
ATLA1_HUMAN,ATLA1_HUMAN,0.9
KPCD_HUMAN,STAT3_HUMAN,0.89
SOCS3_HUMAN,JAK2_HUMAN,0.9
CT011_HUMAN,RMD5A_HUMAN,0.92
PELP1_HUMAN,GCR_HUMAN,0.87
E2AK2_HUMAN,E2AK2_HUMAN,0.9
MED19_HUMAN,MED21_HUMAN,0.87
EIF3B_HUMAN,EIF3E_HUMAN,0.96
RT29_HUMAN,ANDR_HUMAN,0.87
SNX17_HUMAN,LYAM3_HUMAN,0.87
TTF2_HUMAN,CDC5L_HUMAN,0.88
SEH1_HUMAN,MIO_HUMAN,0.9
TR10A_HUMAN,CASP8_HUMAN,0.88
PLXB1_HUMAN,MET_HUMAN,0.92
SMAD2_HUMAN,MYC_HUMAN,0.89
ATR_HUMAN,CHK1_HUMAN,0.89
BECN1_HUMAN,ZWINT_HUMAN,0.89
PITX2_HUMAN,CTNB1_HUMAN,0.86
RFA1_HUMAN,MCM2_HUMAN,0.91
RELB_HUMAN,IKBE_HUMAN,0.87
STAT3_HUMAN,STAT3_HUMAN,0.99
M3K3_HUMAN,1433E_HUMAN,0.9
RPC4_HUMAN,RPAB2_HUMAN,0.86
H4_HUMAN,SETD8_HUMAN,0.9
ARID2_HUMAN,SMCA4_HUMAN,0.87
ATN1_HUMAN,RERE_HUMAN,0.88
TWSG1_HUMAN,BMP4_HUMAN,0.87
MYD88_HUMAN,SPOP_HUMAN,0.89
UBC9_HUMAN,TOP1_HUMAN,0.88
OTU7B_HUMAN,TRAF6_HUMAN,0.87
GEMI5_HUMAN,RUXE_HUMAN,0.87
SUFU_HUMAN,GLI1_HUMAN,0.9
COMD6_HUMAN,CCD22_HUMAN,0.88
TERA_HUMAN,IKBA_HUMAN,0.9
ANM5_HUMAN,H4_HUMAN,0.89
PSD13_HUMAN,PSA3_HUMAN,0.87
PELI3_HUMAN,TRAF6_HUMAN,0.89
FBXW5_HUMAN,DDB1_HUMAN,0.87
PTN6_HUMAN,CD72_HUMAN,0.9
CASP2_HUMAN,CASP2_HUMAN,0.9
CHM4B_HUMAN,CHM1B_HUMAN,0.87
SRBP1_HUMAN,CBP_HUMAN,0.89
PSMD6_HUMAN,PRS4_HUMAN,0.96
MIPT3_HUMAN,TRAF3_HUMAN,0.89
SAT1_HUMAN,SAT1_HUMAN,0.88
JMJD6_HUMAN,PR38A_HUMAN,0.87
TBP_HUMAN,TAF7_HUMAN,0.89
RNPS1_HUMAN,GPTC8_HUMAN,0.89
RBBP4_HUMAN,CAF1B_HUMAN,0.86
CSN5_HUMAN,ALR_HUMAN,0.9
ING3_HUMAN,DMAP1_HUMAN,0.89
MAFF_HUMAN,MAFF_HUMAN,0.88
TOLIP_HUMAN,IL1AP_HUMAN,0.93
CASP8_HUMAN,BCL2_HUMAN,0.86
UBE3A_HUMAN,UBE3A_HUMAN,0.89
DNLI3_HUMAN,XRCC1_HUMAN,0.9
IGF2_HUMAN,IBP1_HUMAN,0.88
AXIN1_HUMAN,DVL2_HUMAN,0.89
TRRAP_HUMAN,ESR1_HUMAN,0.89
CSN8_HUMAN,CSN3_HUMAN,0.94
TP53B_HUMAN,BRCA1_HUMAN,0.88
SYNE1_HUMAN,EMD_HUMAN,0.88
HDAC2_HUMAN,MTA1_HUMAN,0.9
ORC1_HUMAN,SKP2_HUMAN,0.89
NRIP1_HUMAN,CTBP2_HUMAN,0.88
MED19_HUMAN,MED30_HUMAN,0.87
H4_HUMAN,HAT1_HUMAN,0.96
HSC20_HUMAN,SYEP_HUMAN,0.86
MED10_HUMAN,MED8_HUMAN,0.9
NUP62_HUMAN,IMB1_HUMAN,0.88
AKA11_HUMAN,KAP3_HUMAN,0.88
HDA11_HUMAN,HDAC6_HUMAN,0.86
KAT2A_HUMAN,WDHD1_HUMAN,0.86
SKP1_HUMAN,FBX30_HUMAN,0.87
HEXB_HUMAN,HEXB_HUMAN,0.89
JIP2_HUMAN,MP2K7_HUMAN,0.88
TELO2_HUMAN,ATR_HUMAN,0.87
ATX3_HUMAN,ATX3_HUMAN,0.89
DOCK8_HUMAN,LRCH3_HUMAN,0.87
VAPA_HUMAN,OSBP1_HUMAN,0.97
PLGF_HUMAN,VGFR1_HUMAN,0.9
RMP_HUMAN,RPAB1_HUMAN,0.9
UBP44_HUMAN,CETN2_HUMAN,0.87
TDG_HUMAN,RARA_HUMAN,0.87
ICLN_HUMAN,RSMB_HUMAN,0.89
PRS4_HUMAN,PSD12_HUMAN,0.92
TAF12_HUMAN,TBP_HUMAN,0.96
TBK1_HUMAN,AZI2_HUMAN,0.9
SNUT2_HUMAN,U5S1_HUMAN,0.86
S10AA_HUMAN,S10AA_HUMAN,0.9
HNRPL_HUMAN,PCBP2_HUMAN,0.99
INAR2_HUMAN,STAT2_HUMAN,0.9
UBC9_HUMAN,SAE1_HUMAN,0.89
ODP2_HUMAN,PDK1_HUMAN,0.86
NCOR2_HUMAN,NR4A1_HUMAN,0.9
CDC5L_HUMAN,RL13_HUMAN,0.87
EXOC1_HUMAN,EXOC2_HUMAN,0.87
SERB_HUMAN,SERB_HUMAN,0.88
ANM5_HUMAN,H4_HUMAN,0.89
PSDE_HUMAN,PSD10_HUMAN,0.96
NELFA_HUMAN,RPB1_HUMAN,0.88
CSRP3_HUMAN,MYOG_HUMAN,0.88
CBP_HUMAN,GCR_HUMAN,0.89
FIBG_HUMAN,FIBA_HUMAN,0.9
GRAP2_HUMAN,UBP8_HUMAN,0.89
APC1_HUMAN,APC5_HUMAN,0.9
TNR12_HUMAN,TNF12_HUMAN,0.88
WDR5_HUMAN,SET1A_HUMAN,0.9
ARID2_HUMAN,PB1_HUMAN,0.87
NCOA6_HUMAN,NCOA6_HUMAN,0.86
PTN13_HUMAN,TNR6_HUMAN,0.9
SAV1_HUMAN,STK3_HUMAN,0.9
PAF1_HUMAN,CTR9_HUMAN,0.9
MP2K5_HUMAN,M3K3_HUMAN,0.97
UBP45_HUMAN,ZFR_HUMAN,0.86
EPAS1_HUMAN,ARNT_HUMAN,0.9
KSYK_HUMAN,CD22_HUMAN,0.93
ELYS_HUMAN,NU160_HUMAN,0.89
EDF1_HUMAN,TBP_HUMAN,0.96
MERL_HUMAN,MED28_HUMAN,0.86
LMO4_HUMAN,BRCA1_HUMAN,0.9
BARD1_HUMAN,CSTF1_HUMAN,0.9
MCL1_HUMAN,BECN1_HUMAN,0.88
PARD3_HUMAN,JAM3_HUMAN,0.89
CRCM_HUMAN,KC1E_HUMAN,0.9
UBL4A_HUMAN,FAF2_HUMAN,0.87
ATG5_HUMAN,TCPR1_HUMAN,0.9
BAIP2_HUMAN,EPS8_HUMAN,0.9
RFA2_HUMAN,RFA1_HUMAN,0.99
BRCA1_HUMAN,IF16_HUMAN,0.86
KRIT1_HUMAN,HEG1_HUMAN,0.89
ASF1A_HUMAN,TLK2_HUMAN,0.96
RYBP_HUMAN,RING1_HUMAN,0.97
BAP1_HUMAN,ANR17_HUMAN,0.86
MED9_HUMAN,MED1_HUMAN,0.88
EXOS8_HUMAN,EXOS5_HUMAN,0.88
SNAA_HUMAN,NSF_HUMAN,0.99
ZNHI1_HUMAN,ACL6A_HUMAN,0.87
HDAC2_HUMAN,VHL_HUMAN,0.87
BBS1_HUMAN,TTC8_HUMAN,0.88
CSN7A_HUMAN,CSN4_HUMAN,0.87
TBL1X_HUMAN,CTNB1_HUMAN,0.88
T2FB_HUMAN,RPB7_HUMAN,0.86
EIF3H_HUMAN,CSK21_HUMAN,0.86
PCNA_HUMAN,CCND1_HUMAN,0.89
MED19_HUMAN,MED28_HUMAN,0.87
DNJA3_HUMAN,JAK2_HUMAN,0.86
RPB3_HUMAN,RPAB1_HUMAN,0.99
CSN5_HUMAN,CSN2_HUMAN,0.97
NPL4_HUMAN,TERA_HUMAN,0.97
DI3L1_HUMAN,EXOS9_HUMAN,0.88
SIKE1_HUMAN,STRN4_HUMAN,0.88
EPN1_HUMAN,CLH1_HUMAN,0.93
TF2B_HUMAN,TBP_HUMAN,0.97
CUL2_HUMAN,ELOC_HUMAN,0.97
HBP1_HUMAN,SIN3A_HUMAN,0.89
EXOC4_HUMAN,EXOC5_HUMAN,0.89
ARPC4_HUMAN,ARPC3_HUMAN,0.95
TAF12_HUMAN,TAF10_HUMAN,0.9
GRAP2_HUMAN,M4K1_HUMAN,0.96
PTPRJ_HUMAN,PGFRB_HUMAN,0.87
ULA1_HUMAN,A4_HUMAN,0.88
DCTN1_HUMAN,HAP1_HUMAN,0.95
KHDR1_HUMAN,STAT3_HUMAN,0.86
CDC37_HUMAN,ANDR_HUMAN,0.86
STRN3_HUMAN,STRN4_HUMAN,0.9
LRP8_HUMAN,RELN_HUMAN,0.89
CTLA4_HUMAN,CD80_HUMAN,0.9
NP1L1_HUMAN,NP1L1_HUMAN,0.88
RPE_HUMAN,RPE_HUMAN,0.87
CAH12_HUMAN,CAH12_HUMAN,0.88
MED27_HUMAN,MED19_HUMAN,0.9
NR0B2_HUMAN,ESR1_HUMAN,0.88
UBP7_HUMAN,RN169_HUMAN,0.88
HJURP_HUMAN,H4_HUMAN,0.88
CDC5L_HUMAN,PRKDC_HUMAN,0.87
SMUF1_HUMAN,TRAF4_HUMAN,0.87
RHXF2_HUMAN,PLOD3_HUMAN,0.87
IRAK4_HUMAN,MYD88_HUMAN,0.9
MED19_HUMAN,RPB7_HUMAN,0.86
PARVA_HUMAN,PAXI_HUMAN,0.89
IPO13_HUMAN,IF1AX_HUMAN,0.9
MCRS1_HUMAN,DAXX_HUMAN,0.89
PO4F1_HUMAN,EWS_HUMAN,0.87
TOPB1_HUMAN,ZBT17_HUMAN,0.9
REV1_HUMAN,DPOLZ_HUMAN,0.9
FGF7_HUMAN,PGBM_HUMAN,0.89
SSRP1_HUMAN,MCM4_HUMAN,0.89
CYTC_HUMAN,CATB_HUMAN,0.86
TPPC3_HUMAN,TPC2L_HUMAN,0.87
CBX7_HUMAN,RING1_HUMAN,0.9
UBP13_HUMAN,UFD1_HUMAN,0.86
CSN6_HUMAN,FEM1B_HUMAN,0.87
NEK9_HUMAN,NEK6_HUMAN,0.9
PSMD6_HUMAN,PSA1_HUMAN,0.89
TF2H5_HUMAN,ERCC3_HUMAN,0.89
PIN1_HUMAN,CCNK_HUMAN,0.86
SIN3A_HUMAN,SDS3_HUMAN,0.97
GEMI5_HUMAN,SMN_HUMAN,0.9
NU153_HUMAN,TNPO1_HUMAN,0.88
JAM1_HUMAN,AFAD_HUMAN,0.86
CBX5_HUMAN,INCE_HUMAN,0.89
FHL1_HUMAN,MYPC1_HUMAN,0.88
EIF3F_HUMAN,EIF3B_HUMAN,0.96
SF3A2_HUMAN,SF3B1_HUMAN,0.89
DCP2_HUMAN,DCP1A_HUMAN,0.9
BRD2_HUMAN,H4_HUMAN,0.97
NH2L1_HUMAN,PRP31_HUMAN,0.88
H4_HUMAN,TBL1X_HUMAN,0.88
SDS3_HUMAN,HDAC2_HUMAN,0.86
NHRF1_HUMAN,MRP2_HUMAN,0.86
UBC9_HUMAN,RBP2_HUMAN,0.9
SAMH1_HUMAN,SAMH1_HUMAN,0.9
SCO1_HUMAN,COX17_HUMAN,0.86
PCM1_HUMAN,NDC80_HUMAN,0.86
CDC37_HUMAN,CDK6_HUMAN,0.89
GLRX3_HUMAN,CPIN1_HUMAN,0.9
MTSS1_HUMAN,MTSS1_HUMAN,0.86
AT1B1_HUMAN,AT1A1_HUMAN,0.89
TSSK2_HUMAN,TSKS_HUMAN,0.89
IF6_HUMAN,BCCIP_HUMAN,0.87
WDR48_HUMAN,UBP1_HUMAN,0.89
MAT1_HUMAN,PO2F1_HUMAN,0.87
ORC5_HUMAN,ORC5_HUMAN,0.91
RHXF2_HUMAN,CHAC1_HUMAN,0.87
STXB1_HUMAN,STX4_HUMAN,0.88
ATF3_HUMAN,ATF3_HUMAN,0.87
KITH_HUMAN,CDN1A_HUMAN,0.88
BAK_HUMAN,BAX_HUMAN,0.89
CSPG2_HUMAN,CD44_HUMAN,0.87
PTN1_HUMAN,TRPV6_HUMAN,0.94
PCNA_HUMAN,APEX1_HUMAN,0.86
PEX19_HUMAN,ABCD1_HUMAN,0.89
PSD10_HUMAN,PSMD3_HUMAN,0.94
APOA_HUMAN,FINC_HUMAN,0.89
CSN5_HUMAN,FBX22_HUMAN,0.86
PGBM_HUMAN,FBLN2_HUMAN,0.86
ABCG8_HUMAN,ABCG5_HUMAN,0.9
CAF1A_HUMAN,CAF1A_HUMAN,0.87
SEN2_HUMAN,SEN54_HUMAN,0.87
H4_HUMAN,MCM6_HUMAN,0.88
CSK21_HUMAN,DDX54_HUMAN,0.87
TF2H1_HUMAN,ERCC5_HUMAN,0.87
SMN_HUMAN,SMN_HUMAN,0.97
EXOS1_HUMAN,EXOS9_HUMAN,0.89
DOK2_HUMAN,RET_HUMAN,0.93
RUVB2_HUMAN,NOP58_HUMAN,0.94
UBXN6_HUMAN,TERA_HUMAN,0.9
CDN1A_HUMAN,MDM2_HUMAN,0.87
NDK7_HUMAN,TCHP_HUMAN,0.87
ASF1A_HUMAN,H4_HUMAN,0.99
CCND1_HUMAN,ESR1_HUMAN,0.9
COIA1_HUMAN,NUCL_HUMAN,0.88
COPZ1_HUMAN,COPB_HUMAN,0.92
SMAD2_HUMAN,SMAD4_HUMAN,0.9
RL5_HUMAN,MDM2_HUMAN,0.89
WDR92_HUMAN,RPAP3_HUMAN,0.88
DNJA3_HUMAN,RASA1_HUMAN,0.89
RAD52_HUMAN,RFA1_HUMAN,0.96
DERL1_HUMAN,SELS_HUMAN,0.9
PSA7_HUMAN,PSB2_HUMAN,0.92
SMN_HUMAN,RUXG_HUMAN,0.9
H4_HUMAN,PHF20_HUMAN,0.87
RFA2_HUMAN,TOP3A_HUMAN,0.89
IL2_HUMAN,IL2RB_HUMAN,0.9
RPAB3_HUMAN,RPB1_HUMAN,0.95
BIRC5_HUMAN,BIRC5_HUMAN,0.9
ZWINT_HUMAN,NSL1_HUMAN,0.87
TRAF2_HUMAN,CD27_HUMAN,0.94
PMEPA_HUMAN,NEDD4_HUMAN,0.97
RPAB1_HUMAN,RPB7_HUMAN,0.99
TELO2_HUMAN,MTOR_HUMAN,0.87
CBP_HUMAN,HNF1A_HUMAN,0.88
TOLIP_HUMAN,TOLIP_HUMAN,0.88
IL5RA_HUMAN,IL3RB_HUMAN,0.88
GABR2_HUMAN,GABR1_HUMAN,0.9
SIR1_HUMAN,K1967_HUMAN,0.89
MERL_HUMAN,MERL_HUMAN,0.97
ARC1B_HUMAN,ARP2_HUMAN,0.95
CSN6_HUMAN,CSN3_HUMAN,0.96
ILK_HUMAN,TCPE_HUMAN,0.87
OAZ1_HUMAN,DCOR_HUMAN,0.86
FXRD2_HUMAN,SE1L1_HUMAN,0.87
MED9_HUMAN,RPB1_HUMAN,0.86
THOC5_HUMAN,THOC4_HUMAN,0.89
PCNA_HUMAN,CDAN1_HUMAN,0.88
SNIP1_HUMAN,TR150_HUMAN,0.88
MYBB_HUMAN,MYBB_HUMAN,0.86
CSTF1_HUMAN,BRCA1_HUMAN,0.89
RD23B_HUMAN,XPC_HUMAN,0.94
P85B_HUMAN,PK3CB_HUMAN,0.87
MDM2_HUMAN,MDM2_HUMAN,0.9
MTR1A_HUMAN,TMM33_HUMAN,0.88
TRAF3_HUMAN,TNR5_HUMAN,0.9
STX4_HUMAN,VAMP2_HUMAN,0.97
FANCF_HUMAN,FANCG_HUMAN,0.9
SMD3_HUMAN,RSMB_HUMAN,0.9
GDIA_HUMAN,RAB5B_HUMAN,0.88
HIP1R_HUMAN,CLH1_HUMAN,0.92
WDR5_HUMAN,KANL2_HUMAN,0.88
BBS4_HUMAN,PCM1_HUMAN,0.89
STRAA_HUMAN,CAB39_HUMAN,0.9
TNF14_HUMAN,TNR14_HUMAN,0.9
H4_HUMAN,TBL1X_HUMAN,0.88
TNFL6_HUMAN,PPIP1_HUMAN,0.96
UBC9_HUMAN,SMAD4_HUMAN,0.88
MED9_HUMAN,MED15_HUMAN,0.86
ASAP1_HUMAN,SH3K1_HUMAN,0.9
COPA_HUMAN,COPB_HUMAN,0.95
PSA1_HUMAN,PSA4_HUMAN,0.99
HS105_HUMAN,COF1_HUMAN,0.95
3BP2_HUMAN,ZAP70_HUMAN,0.88
OGT1_HUMAN,HCFC1_HUMAN,0.9
CUL5_HUMAN,PEBB_HUMAN,0.88
CUED2_HUMAN,ESR1_HUMAN,0.87
HRK_HUMAN,BCL2_HUMAN,0.89
ORC6_HUMAN,ORC3_HUMAN,0.97
SLX1_HUMAN,EME1_HUMAN,0.87
MIS12_HUMAN,SPC25_HUMAN,0.89
RET_HUMAN,CRK_HUMAN,0.87
FBXW7_HUMAN,PRKN2_HUMAN,0.88
KPCD1_HUMAN,C1QBP_HUMAN,0.89
G3BP2_HUMAN,UBP10_HUMAN,0.89
EPHB2_HUMAN,RASA1_HUMAN,0.88
SNUT2_HUMAN,PRP4_HUMAN,0.86
UCHL5_HUMAN,UBP14_HUMAN,0.86
CDC5L_HUMAN,SF3A1_HUMAN,0.87
UBA5_HUMAN,UBA5_HUMAN,0.86
DPOA2_HUMAN,PRI2_HUMAN,0.86
BLM_HUMAN,RFA3_HUMAN,0.87
RPAB1_HUMAN,RPAB5_HUMAN,0.96
ING3_HUMAN,RUVB2_HUMAN,0.89
RPB2_HUMAN,RPB4_HUMAN,0.87
CEBPB_HUMAN,ESR1_HUMAN,0.89
EXOS1_HUMAN,EXOS4_HUMAN,0.89
AIRE_HUMAN,AIRE_HUMAN,0.9
PTEN_HUMAN,NHRF1_HUMAN,0.96
MED1_HUMAN,RPAB2_HUMAN,0.86
SET1A_HUMAN,ASH2L_HUMAN,0.89
VPS45_HUMAN,STX16_HUMAN,0.93
SOCS2_HUMAN,GHR_HUMAN,0.9
GGA2_HUMAN,SORT_HUMAN,0.89
ABCA1_HUMAN,SNTB2_HUMAN,0.88
JIP3_HUMAN,M3K5_HUMAN,0.87
DLG1_HUMAN,GRIA1_HUMAN,0.89
CD6_HUMAN,CD166_HUMAN,0.9
TRI27_HUMAN,NDEL1_HUMAN,0.86
SHIP2_HUMAN,MET_HUMAN,0.89
SOST_HUMAN,LRP6_HUMAN,0.89
EXOSX_HUMAN,C1D_HUMAN,0.88
MEP50_HUMAN,RSMB_HUMAN,0.87
MIS12_HUMAN,NUF2_HUMAN,0.89
TF7L2_HUMAN,XRCC5_HUMAN,0.86
DCNL3_HUMAN,CUL1_HUMAN,0.86
DYN2_HUMAN,ITSN1_HUMAN,0.88
PAI1_HUMAN,PAI1_HUMAN,0.89
FBW1A_HUMAN,PLK4_HUMAN,0.87
DP13A_HUMAN,DP13A_HUMAN,0.88
PBX1_HUMAN,MEIS1_HUMAN,0.99
KGP1_HUMAN,KGP1_HUMAN,0.87
ZNRF3_HUMAN,RSPO1_HUMAN,0.9
IN80E_HUMAN,IN80C_HUMAN,0.87
SMCA4_HUMAN,ARI1A_HUMAN,0.97
STX18_HUMAN,RINT1_HUMAN,0.89
NCOA1_HUMAN,CBP_HUMAN,0.9
NOP56_HUMAN,WDR36_HUMAN,0.88
MDM4_HUMAN,1433E_HUMAN,0.88
H4_HUMAN,TBL1X_HUMAN,0.88
LYN_HUMAN,CD22_HUMAN,0.89
SYUA_HUMAN,LRRK2_HUMAN,0.86
TCEA1_HUMAN,CDK7_HUMAN,0.87
T2EB_HUMAN,T2EA_HUMAN,0.99
CBX5_HUMAN,SENP7_HUMAN,0.87
FBX22_HUMAN,SKP1_HUMAN,0.87
CDC5L_HUMAN,SFI1_HUMAN,0.87
SYNJ1_HUMAN,SH3K1_HUMAN,0.94
ACD_HUMAN,TERF1_HUMAN,0.88
ADRM1_HUMAN,PSMD2_HUMAN,0.87
H4_HUMAN,PHF20_HUMAN,0.87
ORC3_HUMAN,ORC1_HUMAN,0.9
MED26_HUMAN,MED27_HUMAN,0.86
CSRP3_HUMAN,MYOD1_HUMAN,0.89
WASH1_HUMAN,BECN1_HUMAN,0.87
KEAP1_HUMAN,DPP3_HUMAN,0.87
TNR12_HUMAN,TRAF2_HUMAN,0.89
PML_HUMAN,HDAC2_HUMAN,0.89
KAT5_HUMAN,FOXP3_HUMAN,0.86
T3JAM_HUMAN,STRN4_HUMAN,0.86
H4_HUMAN,MCM2_HUMAN,0.89
UBC9_HUMAN,DAXX_HUMAN,0.9
RARA_HUMAN,SP1_HUMAN,0.89
B2LA1_HUMAN,BAX_HUMAN,0.87
IN80E_HUMAN,TYY1_HUMAN,0.87
H4_HUMAN,HAT1_HUMAN,0.96
DX39B_HUMAN,CHTOP_HUMAN,0.9
DDB1_HUMAN,DCAF4_HUMAN,0.88
CBP_HUMAN,SRTD1_HUMAN,0.89
NCOR1_HUMAN,SKI_HUMAN,0.9
STK3_HUMAN,MAP1B_HUMAN,0.86
CTNA1_HUMAN,CADH2_HUMAN,0.88
CENPO_HUMAN,CENPP_HUMAN,0.87
PSDE_HUMAN,PSDE_HUMAN,0.88
PSA2_HUMAN,PSB6_HUMAN,0.89
APLF_HUMAN,DNLI4_HUMAN,0.89
TBP_HUMAN,MSX1_HUMAN,0.89
NSL1_HUMAN,CBX5_HUMAN,0.9
EED_HUMAN,MTF2_HUMAN,0.86
SET_HUMAN,SET_HUMAN,0.86
1433E_HUMAN,BEX3_HUMAN,0.89
SPOP_HUMAN,CUL3_HUMAN,0.89
NR0B2_HUMAN,ERR3_HUMAN,0.89
MTMR6_HUMAN,MTMR9_HUMAN,0.9
TP53B_HUMAN,H4_HUMAN,0.9
ILK_HUMAN,S61A1_HUMAN,0.86
SOS1_HUMAN,CRK_HUMAN,0.97
JAM1_HUMAN,ZO1_HUMAN,0.9
FR1OP_HUMAN,CE350_HUMAN,0.88
TRAF6_HUMAN,UB2V1_HUMAN,0.86
LRRC7_HUMAN,CNKR2_HUMAN,0.86
TF2B_HUMAN,T2EB_HUMAN,0.88
SIK2_HUMAN,CRTC2_HUMAN,0.87
TIFA_HUMAN,TRAF6_HUMAN,0.96
APC1_HUMAN,FZR_HUMAN,0.87
DNJC3_HUMAN,E2AK2_HUMAN,0.87
BRCA1_HUMAN,BRAT1_HUMAN,0.89
CARD8_HUMAN,CARD8_HUMAN,0.88
LIS1_HUMAN,DYHC1_HUMAN,0.9
NELFD_HUMAN,NELFB_HUMAN,0.9
PCNA_HUMAN,PARP1_HUMAN,0.86
FBX4_HUMAN,CUL1_HUMAN,0.9
PAXI_HUMAN,VINC_HUMAN,0.94
BRD4_HUMAN,JMJD6_HUMAN,0.89
IQCB1_HUMAN,CE290_HUMAN,0.9
UCHL5_HUMAN,PSD11_HUMAN,0.87
TCPA_HUMAN,TCPZ_HUMAN,0.94
ATX7_HUMAN,KAT2A_HUMAN,0.89
PARD3_HUMAN,TIAM1_HUMAN,0.92
SUPT3_HUMAN,TAF10_HUMAN,0.94
CBP_HUMAN,MYB_HUMAN,0.9
RANB3_HUMAN,RAN_HUMAN,0.87
ALS_HUMAN,IBP3_HUMAN,0.86
TSP1_HUMAN,MMP9_HUMAN,0.87
MD2L1_HUMAN,CDC27_HUMAN,0.89
DKK1_HUMAN,LRP6_HUMAN,0.9
RPAB1_HUMAN,RPB9_HUMAN,0.96
BAZ2A_HUMAN,TTF1_HUMAN,0.88
PSMD6_HUMAN,PSDE_HUMAN,0.99
PUF60_HUMAN,UGPA_HUMAN,0.86
NKG2D_HUMAN,N2DL3_HUMAN,0.89
CD2B2_HUMAN,RSMB_HUMAN,0.9
SRPK2_HUMAN,U2AFM_HUMAN,0.89
DAXX_HUMAN,SNW1_HUMAN,0.9
CDC6_HUMAN,ORC2_HUMAN,0.99
SNW1_HUMAN,SMAD2_HUMAN,0.89
UBP14_HUMAN,ADRM1_HUMAN,0.86
RNF11_HUMAN,TNAP3_HUMAN,0.89
RIPK3_HUMAN,RIPK1_HUMAN,0.9
LRP8_HUMAN,APOE_HUMAN,0.88
CDC26_HUMAN,CDC27_HUMAN,0.88
TP53B_HUMAN,H4_HUMAN,0.9
ESR1_HUMAN,RLA0_HUMAN,0.87
WAPL_HUMAN,PDS5B_HUMAN,0.89
F10C1_HUMAN,DGC14_HUMAN,0.86
CE170_HUMAN,WDR62_HUMAN,0.89
PRKDC_HUMAN,RFA2_HUMAN,0.9
CDT1_HUMAN,GEMI_HUMAN,0.97
M3K7_HUMAN,TRAF6_HUMAN,0.9
TCF21_HUMAN,TFE2_HUMAN,0.9
NDUF3_HUMAN,NDUS3_HUMAN,0.86
RPAB2_HUMAN,RPC6_HUMAN,0.88
CATB_HUMAN,S10AA_HUMAN,0.87
NOP56_HUMAN,NOG1_HUMAN,0.88
NR5A2_HUMAN,NR0B2_HUMAN,0.97
